Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.7300662637442656,0.7517195101493038,0.6680083482409064,0.707396005998895
Random Forest,0.7370567246777835,0.7632160462349141,0.6693500298151461,0.7132078468747518
Gradient Boosting,0.7366198208694386,0.7557504550719841,0.6808288610614192,0.7163359736491256
