feature,importance
ap_hi,0.455832061714227
ap_lo,0.18319990590097382
age,0.1415312676419674
cholesterol,0.09447350028506861
weight,0.05885421811737517
height,0.02927893039847437
gluc,0.01366589364621173
active,0.008665038526165464
smoke,0.005108031151021793
gender,0.005043070924679843
alco,0.004348081693834747
