feature,importance
ap_hi,0.712419545246299
age,0.13569271725292747
cholesterol,0.07731184405921819
weight,0.02704968338650028
ap_lo,0.013480555986233541
height,0.009553568135023116
active,0.008752623541821221
gluc,0.007190797020942255
smoke,0.004363555415986879
alco,0.0026449225249503073
gender,0.0015401874300976304
